;Name;Vorname;Fraktion/Gruppe;20-003-01;20-003-02;20-007-01;20-007-02;20-014-02;20-014-03;20-015-01;20-021-01;20-022-01;20-022-02;20-022-03
2;Aumer;Peter;CDU/CSU;Nein;Ja;Nein;Ja;Nein;Nein;Ja;Ja;Nein;Ja;Ja
3;Bär;Dorothee;CDU/CSU;Nein;Ja;Nein;Ja;Nein;Nein;Abwesend;Ja;Abwesend;Abwesend;Abwesend
4;Bareiß;Thomas;CDU/CSU;Nein;Ja;Nein;Ja;Nein;Nein;Ja;Ja;Nein;Ja;Ja
11;Beyer;Peter;CDU/CSU;Abwesend;Abwesend;Nein;Ja;Nein;Nein;Ja;Ja;Nein;Ja;Ja
12;Bilger;Steffen;CDU/CSU;Nein;Ja;Nein;Ja;Nein;Nein;Ja;Ja;Nein;Ja;Ja
21;Brandl;Reinhard;CDU/CSU;Nein;Ja;Nein;Ja;Nein;Nein;Ja;Ja;Nein;Ja;Ja
24;Braun;Helge;CDU/CSU;Nein;Ja;Abwesend;Abwesend;Nein;Nein;Abwesend;Ja;Nein;Ja;Ja
25;Brehmer;Heike;CDU/CSU;Nein;Ja;Abwesend;Abwesend;Abwesend;Abwesend;Abwesend;Abwesend;Abwesend;Abwesend;Abwesend
26;Brinkhaus;Ralph;CDU/CSU;Nein;Ja;Nein;Ja;Nein;Nein;Ja;Abwesend;Abwesend;Abwesend;Abwesend
28;Connemann;Gitta;CDU/CSU;Nein;Ja;Nein;Ja;Nein;Nein;Ja;Ja;Nein;Ja;Ja
29;Dobrindt;Alexander;CDU/CSU;Nein;Ja;Nein;Ja;Nein;Nein;Ja;Ja;Nein;Ja;Ja
33;Ferlemann;Enak;CDU/CSU;Nein;Ja;Abwesend;Abwesend;Abwesend;Abwesend;Abwesend;Ja;Nein;Ja;Ja
41;Friedrich (Hof);Hans-Peter;CDU/CSU;Nein;Abwesend;Nein;Nein;Nein;Nein;Abwesend;Ja;Abwesend;Abwesend;Abwesend
42;Frieser;Michael;CDU/CSU;Nein;Ja;Nein;Ja;Nein;Nein;Ja;Ja;Nein;Ja;Ja
47;Gädechens;Ingo;CDU/CSU;Nein;Ja;Nein;Ja;Nein;Nein;Ja;Ja;Nein;Ja;Ja
49;Gebhart;Thomas;CDU/CSU;Nein;Ja;Nein;Ja;Nein;Nein;Ja;Ja;Nein;Ja;Ja
59;Gröhe;Hermann;CDU/CSU;Nein;Ja;Nein;Ja;Nein;Nein;Ja;Ja;Nein;Ja;Ja
60;Grosse-Brömer;Michael;CDU/CSU;Nein;Ja;Nein;Ja;Nein;Nein;Ja;Ja;Nein;Ja;Ja
61;Grübel;Markus;CDU/CSU;Nein;Ja;Nein;Ja;Nein;Nein;Ja;Ja;Nein;Ja;Abwesend
62;Grund;Manfred;CDU/CSU;Nein;Ja;Nein;Nein;Nein;Nein;Ja;Ja;Nein;Ja;Ja
63;Grütters;Monika;CDU/CSU;Nein;Ja;Nein;Ja;Nein;Nein;Ja;Ja;Nein;Ja;Ja
64;Gutting;Olav;CDU/CSU;Nein;Ja;Abwesend;Abwesend;Nein;Nein;Abwesend;Ja;Nein;Ja;Ja
65;Hahn;Florian;CDU/CSU;Nein;Ja;Nein;Ja;Nein;Nein;Ja;Ja;Nein;Abwesend;Abwesend
67;Hardt;Jürgen;CDU/CSU;Nein;Ja;Nein;Ja;Nein;Nein;Ja;Ja;Nein;Ja;Ja
71;Heil;Mechthild;CDU/CSU;Nein;Ja;Nein;Ja;Nein;Nein;Ja;Ja;Nein;Ja;Ja
75;Hennrich;Michael;CDU/CSU;Nein;Ja;Nein;Ja;Nein;Nein;Ja;Ja;Nein;Ja;Ja
76;Heveling;Ansgar;CDU/CSU;Nein;Ja;Nein;Ja;Nein;Nein;Ja;Ja;Nein;Ja;Ja
79;Hirte;Christian;CDU/CSU;Nein;Ja;Nein;Ja;Nein;Nein;Ja;Ja;Nein;Ja;Ja
85;Hüppe;Hubert;CDU/CSU;Nein;Ja;Nein;Ja;Nein;Nein;Ja;Ja;Nein;Ja;Ja
86;Jarzombek;Thomas;CDU/CSU;Abwesend;Abwesend;Nein;Ja;Nein;Nein;Ja;Abwesend;Abwesend;Abwesend;Abwesend
99;Kiesewetter;Roderich;CDU/CSU;Nein;Ja;Nein;Ja;Nein;Nein;Ja;Ja;Nein;Ja;Ja
102;Klein;Volkmar;CDU/CSU;Nein;Ja;Nein;Ja;Nein;Nein;Ja;Ja;Nein;Ja;Ja
104;Knoerig;Axel;CDU/CSU;Nein;Ja;Nein;Ja;Nein;Nein;Ja;Ja;Nein;Ja;Ja
105;Koeppen;Jens;CDU/CSU;Nein;Nein;Nein;Nein;Nein;Nein;Ja;Ja;Nein;Abwesend;Abwesend
111;Krichbaum;Gunther;CDU/CSU;Nein;Ja;Nein;Ja;Nein;Nein;Ja;Ja;Nein;Ja;Abwesend
112;Krings;Günter;CDU/CSU;Nein;Ja;Nein;Ja;Nein;Nein;Ja;Ja;Nein;Ja;Ja
121;Lange;Ulrich;CDU/CSU;Nein;Ja;Nein;Ja;Nein;Nein;Ja;Ja;Nein;Ja;Ja
123;Lehrieder;Paul;CDU/CSU;Nein;Ja;Nein;Ja;Nein;Nein;Ja;Ja;Nein;Ja;Ja
127;Linnemann;Carsten;CDU/CSU;Nein;Ja;Nein;Ja;Nein;Nein;Ja;Ja;Nein;Ja;Ja
128;Lips;Patricia;CDU/CSU;Nein;Ja;Nein;Ja;Nein;Nein;Ja;Ja;Nein;Ja;Abwesend
129;Luczak;Jan-Marco;CDU/CSU;Nein;Ja;Nein;Ja;Abwesend;Abwesend;Abwesend;Ja;Nein;Ja;Ja
130;Ludwig;Daniela;CDU/CSU;Nein;Ja;Nein;Ja;Nein;Nein;Ja;Abwesend;Abwesend;Abwesend;Abwesend
135;Mattfeldt;Andreas;CDU/CSU;Abwesend;Abwesend;Nein;Nein;Nein;Nein;Ja;Abwesend;Abwesend;Abwesend;Abwesend
136;Mayer (Altötting);Stephan;CDU/CSU;Abwesend;Abwesend;Nein;Ja;Nein;Nein;Ja;Ja;Abwesend;Abwesend;Abwesend
137;Meister;Michael;CDU/CSU;Nein;Ja;Nein;Ja;Nein;Nein;Ja;Ja;Nein;Ja;Ja
141;Middelberg;Mathias;CDU/CSU;Nein;Ja;Nein;Ja;Nein;Nein;Ja;Ja;Nein;Ja;Ja
143;Monstadt;Dietrich;CDU/CSU;Nein;Ja;Nein;Ja;Nein;Nein;Ja;Ja;Nein;Ja;Ja
146;Müller (Erlangen);Stefan;CDU/CSU;Nein;Ja;Nein;Ja;Nein;Nein;Ja;Ja;Nein;Ja;Ja
153;Otte;Henning;CDU/CSU;Nein;Ja;Nein;Ja;Nein;Nein;Ja;Ja;Nein;Ja;Ja
164;Rachel;Thomas;CDU/CSU;Nein;Ja;Nein;Ja;Nein;Nein;Ja;Abwesend;Abwesend;Abwesend;Abwesend
165;Ramsauer;Peter;CDU/CSU;Nein;Ja;Abwesend;Abwesend;Nein;Nein;Abwesend;Ja;Abwesend;Abwesend;Abwesend
169;Rief;Josef;CDU/CSU;Nein;Ja;Nein;Ja;Nein;Nein;Ja;Ja;Nein;Abwesend;Ja
173;Röttgen;Norbert;CDU/CSU;Nein;Ja;Nein;Ja;Nein;Nein;Ja;Ja;Nein;Ja;Ja
175;Rüddel;Erwin;CDU/CSU;Nein;Ja;Nein;Ja;Nein;Nein;Ja;Ja;Nein;Ja;Ja
178;Schäuble;Wolfgang;CDU/CSU;Nein;Ja;Nein;Ja;Nein;Nein;Ja;Ja;Nein;Ja;Ja
180;Scheuer;Andreas;CDU/CSU;Nein;Ja;Abwesend;Abwesend;Nein;Nein;Ja;Ja;Nein;Abwesend;Abwesend
186;Schnieder;Patrick;CDU/CSU;Nein;Ja;Nein;Ja;Nein;Nein;Ja;Ja;Nein;Ja;Ja
194;Seif;Detlef;CDU/CSU;Nein;Ja;Nein;Ja;Nein;Nein;Ja;Ja;Nein;Ja;Ja
199;Silberhorn;Thomas;CDU/CSU;Nein;Ja;Nein;Ja;Nein;Nein;Ja;Ja;Nein;Ja;Ja
201;Spahn;Jens;CDU/CSU;Nein;Ja;Abwesend;Abwesend;Nein;Nein;Ja;Ja;Nein;Abwesend;Abwesend
205;Stetten;Christian;CDU/CSU;Nein;Ja;Nein;Ja;Nein;Nein;Ja;Ja;Nein;Ja;Ja
206;Stier;Dieter;CDU/CSU;Nein;Enthaltung;Nein;Abwesend;Nein;Nein;Ja;Ja;Nein;Ja;Ja
207;Storjohann;Gero;CDU/CSU;Nein;Ja;Nein;Ja;Nein;Nein;Ja;Ja;Nein;Ja;Ja
208;Stracke;Stephan;CDU/CSU;Nein;Ja;Nein;Ja;Nein;Nein;Ja;Ja;Nein;Ja;Ja
209;Straubinger;Max;CDU/CSU;Nein;Ja;Nein;Ja;Nein;Nein;Ja;Ja;Nein;Ja;Ja
215;Tillmann;Antje;CDU/CSU;Nein;Ja;Nein;Ja;Nein;Nein;Ja;Ja;Nein;Ja;Ja
222;Wanderwitz;Marco;CDU/CSU;Nein;Ja;Nein;Ja;Nein;Nein;Abwesend;Ja;Nein;Ja;Ja
226;Weiss (Wesel I);Sabine;CDU/CSU;Nein;Ja;Nein;Ja;Nein;Nein;Ja;Ja;Nein;Ja;Ja
230;Widmann-Mauz;Annette;CDU/CSU;Nein;Ja;Nein;Ja;Nein;Nein;Ja;Ja;Nein;Ja;Ja
231;Willsch;Klaus-Peter;CDU/CSU;Nein;Ja;Nein;Ja;Nein;Nein;Ja;Ja;Nein;Ja;Ja
232;Winkelmeier-Becker;Elisabeth;CDU/CSU;Nein;Ja;Nein;Ja;Nein;Nein;Ja;Ja;Nein;Ja;Ja
243;Bartol;Sören;SPD;Ja;Nein;Nein;Ja;Ja;Ja;Ja;Nein;Ja;Ja;Ja
244;Bas;Bärbel;SPD;Ja;Nein;Nein;Ja;Ja;Ja;Ja;Abwesend;Abwesend;Abwesend;Abwesend
269;Franke;Edgar;SPD;Ja;Nein;Nein;Ja;Ja;Ja;Ja;Nein;Ja;Ja;Ja
272;Gerdes;Michael;SPD;Ja;Nein;Nein;Ja;Ja;Ja;Ja;Nein;Ja;Ja;Ja
273;Gerster;Martin;SPD;Ja;Nein;Nein;Ja;Ja;Ja;Ja;Nein;Ja;Ja;Ja
278;Griese;Kerstin;SPD;Ja;Nein;Nein;Ja;Ja;Ja;Abwesend;Nein;Ja;Ja;Ja
283;Hagedorn;Bettina;SPD;Ja;Nein;Nein;Ja;Ja;Ja;Ja;Nein;Ja;Ja;Ja
286;Heil (Peine);Hubertus;SPD;Ja;Nein;Nein;Ja;Ja;Ja;Ja;Nein;Ja;Ja;Abwesend
287;Hellmich;Wolfgang;SPD;Ja;Nein;Nein;Ja;Ja;Ja;Ja;Nein;Ja;Ja;Abwesend
296;Juratovic;Josip;SPD;Ja;Nein;Nein;Ja;Abwesend;Abwesend;Abwesend;Nein;Ja;Ja;Ja
297;Kaczmarek;Oliver;SPD;Ja;Nein;Nein;Ja;Ja;Ja;Ja;Nein;Ja;Ja;Ja
301;Klingbeil;Lars;SPD;Ja;Nein;Nein;Ja;Ja;Ja;Ja;Nein;Ja;Ja;Ja
303;Kofler;Bärbel;SPD;Ja;Nein;Nein;Ja;Ja;Ja;Ja;Abwesend;Abwesend;Abwesend;Abwesend
306;Kramme;Anette;SPD;Ja;Nein;Nein;Ja;Ja;Ja;Ja;Nein;Ja;Ja;Ja
311;Lauterbach;Karl;SPD;Ja;Nein;Nein;Ja;Ja;Ja;Ja;Nein;Ja;Ja;Ja
317;Mast;Katja;SPD;Ja;Nein;Nein;Ja;Ja;Ja;Ja;Nein;Ja;Ja;Abwesend
321;Miersch;Matthias;SPD;Abwesend;Abwesend;Nein;Ja;Ja;Ja;Ja;Nein;Ja;Ja;Ja
323;Mützenich;Rolf;SPD;Ja;Nein;Nein;Ja;Ja;Ja;Ja;Nein;Ja;Abwesend;Abwesend
325;Nietan;Dietmar;SPD;Ja;Nein;Nein;Ja;Ja;Ja;Ja;Abwesend;Abwesend;Abwesend;Abwesend
329;Özoguz;Aydan;SPD;Ja;Nein;Nein;Ja;Ja;Ja;Ja;Abwesend;Abwesend;Abwesend;Abwesend
340;Rix;Sönke;SPD;Ja;Nein;Nein;Ja;Ja;Ja;Ja;Nein;Ja;Ja;Ja
344;Roth (Heringen);Michael;SPD;Ja;Nein;Abwesend;Ja;Ja;Ja;Ja;Nein;Ja;Ja;Ja
348;Schäfer (Bochum);Axel;SPD;Ja;Nein;Nein;Ja;Ja;Ja;Ja;Nein;Ja;Ja;Abwesend
354;Schneider (Erfurt);Carsten;SPD;Ja;Nein;Nein;Ja;Ja;Ja;Ja;Nein;Ja;Ja;Ja
358;Schwabe;Frank;SPD;Ja;Nein;Abwesend;Abwesend;Abwesend;Abwesend;Abwesend;Nein;Ja;Ja;Ja
361;Schwartze;Stefan;SPD;Ja;Nein;Nein;Ja;Ja;Ja;Ja;Nein;Ja;Ja;Ja
362;Schwarzelühr-Sutter;Rita;SPD;Ja;Nein;Nein;Ja;Ja;Ja;Ja;Nein;Ja;Ja;Ja
385;Aschenberg-Dugnus;Christine;FDP;Ja;Nein;Nein;Ja;Ja;Ja;Ja;Nein;Ja;Ja;Ja
395;Buschmann;Marco;FDP;Ja;Nein;Abwesend;Abwesend;Ja;Ja;Ja;Nein;Ja;Ja;Ja
399;Djir-Sarai;Bijan;FDP;Ja;Nein;Nein;Ja;Ja;Ja;Ja;Abwesend;Abwesend;Abwesend;Abwesend
406;Fricke;Otto;FDP;Ja;Nein;Nein;Ja;Ja;Ja;Ja;Nein;Ja;Ja;Ja
415;Höferlin;Manuel;FDP;Abwesend;Abwesend;Nein;Ja;Ja;Ja;Ja;Nein;Ja;Ja;Ja
421;Kober;Pascal;FDP;Ja;Nein;Nein;Ja;Ja;Ja;Ja;Nein;Ja;Ja;Ja
432;Lindemann;Lars;FDP;Ja;Nein;Nein;Ja;Abwesend;Abwesend;Abwesend;Nein;Ja;Ja;Ja
436;Luksic;Oliver;FDP;Ja;Nein;Nein;Ja;Ja;Ja;Ja;Nein;Ja;Ja;Ja
454;Schäffler;Frank;FDP;Ja;Nein;Nein;Ja;Ja;Ja;Ja;Nein;Ja;Ja;Ja
460;Skudelny;Judith;FDP;Ja;Nein;Nein;Ja;Ja;Ja;Ja;Nein;Ja;Ja;Abwesend
466;Thomae;Stephan;FDP;Ja;Nein;Nein;Ja;Ja;Ja;Ja;Nein;Ja;Ja;Ja
467;Todtenhausen;Manfred;FDP;Ja;Nein;Nein;Ja;Ja;Ja;Ja;Abwesend;Abwesend;Abwesend;Abwesend
468;Toncar;Florian;FDP;Ja;Nein;Nein;Ja;Ja;Ja;Ja;Abwesend;Ja;Ja;Ja
474;Wissing;Volker;FDP;Ja;Nein;Nein;Ja;Ja;Ja;Ja;Abwesend;Ja;Ja;Ja
622;Reinhold;Hagen;FDP;Ja;Nein;Nein;Ja;Ja;Ja;Ja;Nein;Ja;Ja;Ja
633;Bartsch;Dietmar;DIE LINKE.;Enthaltung;Nein;Ja;Enthaltung;Nein;Nein;Nein;Nein;Nein;Nein;Nein
636;Birkwald;Matthias W.;DIE LINKE.;Enthaltung;Nein;Ja;Enthaltung;Nein;Nein;Nein;Nein;Enthaltung;Nein;Nein
643;Dagdelen;Sevim;DIE LINKE.;Enthaltung;Nein;Abwesend;Abwesend;Abwesend;Abwesend;Abwesend;Abwesend;Nein;Nein;Abwesend
648;Ernst;Klaus;DIE LINKE.;Enthaltung;Nein;Ja;Enthaltung;Abwesend;Abwesend;Nein;Nein;Nein;Nein;Nein
650;Gohlke;Nicole;DIE LINKE.;Enthaltung;Nein;Ja;Enthaltung;Nein;Nein;Abwesend;Nein;Nein;Nein;Nein
653;Gysi;Gregor;DIE LINKE.;Enthaltung;Nein;Abwesend;Abwesend;Nein;Nein;Nein;Nein;Nein;Nein;Nein
658;Hunko;Andrej;DIE LINKE.;Enthaltung;Nein;Ja;Enthaltung;Nein;Nein;Nein;Nein;Nein;Nein;Nein
661;Kipping;Katja;DIE LINKE.;Enthaltung;Nein;Abwesend;Abwesend;;;;;;;
663;Korte;Jan;DIE LINKE.;Abwesend;Abwesend;Abwesend;Abwesend;Abwesend;Abwesend;Abwesend;Nein;Nein;Nein;Abwesend
666;Lay;Caren;DIE LINKE.;Enthaltung;Nein;Ja;Enthaltung;Nein;Nein;Nein;Nein;Nein;Nein;Nein
668;Lenkert;Ralph;DIE LINKE.;Enthaltung;Nein;Ja;Enthaltung;Nein;Nein;Nein;Nein;Nein;Nein;Nein
672;Lötzsch;Gesine;DIE LINKE.;Enthaltung;Nein;Ja;Enthaltung;Nein;Nein;Nein;Nein;Nein;Nein;Nein
673;Lutze;Thomas;DIE LINKE.;Enthaltung;Nein;Ja;Enthaltung;Abwesend;Abwesend;Abwesend;Nein;Nein;Nein;Nein
676;Möhring;Cornelia;DIE LINKE.;Enthaltung;Nein;Ja;Enthaltung;Nein;Nein;Nein;Abwesend;Abwesend;Abwesend;Abwesend
680;Pau;Petra;DIE LINKE.;Enthaltung;Nein;Ja;Enthaltung;Abwesend;Abwesend;Nein;Nein;Nein;Nein;Nein
690;Sitte;Petra;DIE LINKE.;Enthaltung;Nein;Ja;Enthaltung;Nein;Nein;Nein;Nein;Nein;Nein;Nein
697;Ulrich;Alexander;DIE LINKE.;Enthaltung;Nein;Ja;Enthaltung;Nein;Nein;Abwesend;Abwesend;Abwesend;Abwesend;Abwesend
698;Vogler;Kathrin;DIE LINKE.;Enthaltung;Nein;Ja;Enthaltung;Nein;Nein;Nein;Nein;Nein;Nein;Nein
700;Wagenknecht;Sahra;DIE LINKE.;Enthaltung;Nein;Ja;Nein;Abwesend;Abwesend;Abwesend;Abwesend;Abwesend;Abwesend;Abwesend
713;Deligöz;Ekin;BÜ90/GR;Ja;Nein;Nein;Ja;Abwesend;Abwesend;Ja;Nein;Ja;Ja;Ja
715;Ebner;Harald;BÜ90/GR;Ja;Nein;Nein;Ja;Ja;Ja;Ja;Nein;Ja;Ja;Ja
718;Gehring;Kai;BÜ90/GR;Ja;Nein;Nein;Ja;Ja;Ja;Ja;Nein;Ja;Ja;Ja
719;Göring-Eckardt;Katrin;BÜ90/GR;Ja;Nein;Nein;Ja;Ja;Abwesend;Ja;Nein;Ja;Abwesend;Ja
720;Haßelmann;Britta;BÜ90/GR;Ja;Nein;Nein;Ja;Ja;Ja;Ja;Nein;Ja;Ja;Ja
723;Hofreiter;Anton;BÜ90/GR;Ja;Nein;Nein;Ja;Ja;Ja;Ja;Abwesend;Ja;Ja;Ja
728;Keul;Katja;BÜ90/GR;Ja;Nein;Nein;Ja;Ja;Ja;Ja;Nein;Ja;Ja;Ja
731;Kindler;Sven-Christian;BÜ90/GR;Ja;Nein;Nein;Ja;Ja;Ja;Ja;Nein;Ja;Ja;Ja
732;Klein-Schmeink;Maria;BÜ90/GR;Ja;Nein;Nein;Ja;Ja;Ja;Ja;Nein;Ja;Ja;Ja
736;Krischer;Oliver;BÜ90/GR;Ja;Nein;Nein;Ja;Ja;Ja;Ja;Nein;Ja;Ja;Ja
739;Künast;Renate;BÜ90/GR;Ja;Nein;Nein;Ja;Ja;Ja;Ja;Nein;Ja;Ja;Ja
740;Kurth;Markus;BÜ90/GR;Ja;Nein;Nein;Ja;Ja;Ja;Ja;Nein;Ja;Ja;Ja
743;Lindner;Tobias;BÜ90/GR;Ja;Nein;Nein;Ja;Abwesend;Abwesend;Abwesend;Nein;Abwesend;Ja;Ja
747;Müller-Gemmeke;Beate;BÜ90/GR;Ja;Nein;Nein;Ja;Ja;Ja;Ja;Nein;Ja;Ja;Ja
748;Notz;Konstantin;BÜ90/GR;Ja;Nein;Nein;Ja;Ja;Ja;Ja;Nein;Ja;Ja;Ja
749;Nouripour;Omid;BÜ90/GR;Ja;Nein;Nein;Ja;Ja;Ja;Ja;Nein;Ja;Ja;Ja
752;Paus;Lisa;BÜ90/GR;Ja;Nein;Nein;Ja;Ja;Ja;Ja;Nein;Ja;Ja;Ja
754;Rößner;Tabea;BÜ90/GR;Ja;Nein;Abwesend;Abwesend;Ja;Ja;Ja;Nein;Abwesend;Ja;Ja
755;Roth (Augsburg);Claudia;BÜ90/GR;Ja;Nein;Abwesend;Abwesend;Ja;Ja;Ja;Nein;Ja;Ja;Ja
763;Strengmann-Kuhn;Wolfgang;BÜ90/GR;Ja;Nein;Nein;Ja;Ja;Ja;Ja;Nein;Ja;Ja;Ja
767;Trittin;Jürgen;BÜ90/GR;Ja;Nein;Nein;Ja;Ja;Ja;Ja;Nein;Abwesend;Abwesend;Abwesend
770;Walter-Rosenheimer;Beate;BÜ90/GR;Ja;Nein;Nein;Ja;Ja;Ja;Ja;Nein;Ja;Ja;Ja
776;Albani;Stephan;CDU/CSU;Nein;Ja;Nein;Ja;Nein;Nein;Ja;Ja;Nein;Ja;Ja
778;Auernhammer;Artur;CDU/CSU;Nein;Ja;Nein;Ja;Nein;Nein;Abwesend;Ja;Nein;Ja;Ja
785;Donth;Michael;CDU/CSU;Nein;Ja;Nein;Ja;Nein;Nein;Ja;Ja;Nein;Ja;Ja
786;Durz;Hansjörg;CDU/CSU;Nein;Ja;Nein;Ja;Nein;Nein;Ja;Ja;Nein;Ja;Ja
789;Färber;Hermann;CDU/CSU;Nein;Ja;Nein;Ja;Nein;Nein;Ja;Ja;Nein;Ja;Ja
790;Feiler;Uwe;CDU/CSU;Nein;Ja;Nein;Ja;Nein;Nein;Ja;Ja;Nein;Ja;Ja
791;Frei;Thorsten;CDU/CSU;Nein;Ja;Nein;Ja;Nein;Nein;Ja;Ja;Nein;Ja;Ja
797;Grundmann;Oliver;CDU/CSU;Abwesend;Abwesend;Nein;Ja;Nein;Nein;Ja;Ja;Nein;Abwesend;Ja
799;Güntzler;Fritz;CDU/CSU;Nein;Ja;Nein;Ja;Nein;Nein;Ja;Abwesend;Abwesend;Abwesend;Abwesend
800;Haase;Christian;CDU/CSU;Nein;Ja;Nein;Ja;Nein;Nein;Ja;Ja;Nein;Ja;Ja
801;Hauer;Matthias;CDU/CSU;Nein;Ja;Nein;Ja;Nein;Nein;Ja;Ja;Nein;Ja;Ja
803;Heck;Stefan;CDU/CSU;Nein;Ja;Nein;Ja;Abwesend;Abwesend;Abwesend;Ja;Nein;Ja;Abwesend
805;Helfrich;Mark;CDU/CSU;Nein;Ja;Nein;Ja;Nein;Nein;Ja;Abwesend;Abwesend;Abwesend;Abwesend
809;Hoffmann;Alexander;CDU/CSU;Nein;Ja;Nein;Ja;Nein;Nein;Ja;Abwesend;Abwesend;Abwesend;Abwesend
810;Hoppenstedt;Hendrik;CDU/CSU;Nein;Ja;Nein;Ja;Nein;Nein;Ja;Ja;Nein;Ja;Ja
814;Irlstorfer;Erich;CDU/CSU;Abwesend;Abwesend;Abwesend;Abwesend;Abwesend;Abwesend;Abwesend;Ja;Nein;Ja;Ja
818;Karliczek;Anja;CDU/CSU;Nein;Ja;Nein;Ja;Nein;Nein;Ja;Ja;Nein;Ja;Ja
819;Kippels;Georg;CDU/CSU;Nein;Ja;Nein;Ja;Nein;Nein;Ja;Ja;Nein;Ja;Ja
820;Koob;Markus;CDU/CSU;Nein;Ja;Nein;Ja;Nein;Nein;Ja;Ja;Nein;Ja;Ja
821;Körber;Carsten;CDU/CSU;Nein;Ja;Nein;Ja;Nein;Nein;Ja;Ja;Nein;Ja;Ja
827;Launert;Silke;CDU/CSU;Nein;Ja;Nein;Ja;Nein;Nein;Abwesend;Ja;Nein;Ja;Ja
828;Leikert;Katja;CDU/CSU;Nein;Ja;Nein;Ja;Nein;Nein;Ja;Ja;Nein;Ja;Ja
830;Lenz;Andreas;CDU/CSU;Nein;Abwesend;Abwesend;Abwesend;Nein;Nein;Ja;Abwesend;Abwesend;Abwesend;Abwesend
833;Lindholz;Andrea;CDU/CSU;Nein;Ja;Nein;Ja;Nein;Nein;Ja;Ja;Nein;Ja;Ja
836;Magwas;Yvonne;CDU/CSU;Abwesend;Abwesend;Nein;Ja;Nein;Nein;Ja;Abwesend;Abwesend;Abwesend;Abwesend
